borough,developmen,tds_num,Latitude,Longitude,scores_SCORE,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT
BROOKLYN,LONG ISLAND BAPTIST HOUSES,276,40.667455,-73.897301,0.836165046866667,261,229,232,"1,039.5",4.54,526,526,63,0.283,4,0,"$11,010.00",$540.00
MANHATTAN,JEFFERSON,64,40.795383,-73.938834,0.676508919735632,64,"1,486","1,493","6,945.0",4.67,"3,314","3,314",570,0.387,18,1,"$3,854.00",$565.00
MANHATTAN,JOHNSON,17,40.796934,-73.943004,0.61062251862963,17,"1,296","1,310","6,121.0",4.72,"3,076","3,076",488,0.382,10,0,"$2,337.00",$573.00
MANHATTAN,KING TOWERS,30,40.799695,-73.949178,0.721316192368421,30,"1,377","1,379","6,342.5",4.61,"3,013","3,013",511,0.375,10,0,"$3,135.00",$559.00
BROOKLYN,KINGSBOROUGH,10,40.675521,-73.92467,0.661920344818182,10,"1,154","1,165","4,711.0",4.08,"2,408","2,408",409,0.365,16,0,"$1,107.00",$504.00
BROOKLYN,KINGSBOROUGH EXTENSION,161,40.675085,-73.924312,0.526170342481481,10,182,184,637.0,3.5,203,203,168,0.928,1,0,"$4,637.00",$343.00
MANHATTAN,LA GUARDIA,76,40.712194,-73.987364,0.638049801933333,76,"1,091","1,094","5,097.5",4.67,"2,458","2,458",488,0.45,9,0,"$3,356.00",$585.00
MANHATTAN,LA GUARDIA ADDITION,152,40.711655,-73.988586,0.60969821069697,76,149,150,491.5,3.3,193,193,142,0.953,1,0,"$5,645.00",$297.00
BROOKLYN,LAFAYETTE,122,40.689789,-73.958656,0.751306054206349,122,882,882,"4,385.0",4.97,"2,422","2,422",286,0.327,7,0,"$3,350.00",$609.00
QUEENS,LATIMER GARDENS,186,40.765843,-73.830402,0.649593880666667,186,423,423,"1,708.5",4.04,792,792,217,0.513,4,0,"$5,442.00",$526.00
QUEENS,LEAVITT STREET-34TH AVENUE,201,40.766916,-73.828691,0.608091220083333,186,83,83,272.5,3.28,104,104,76,0.916,1,0,"$9,244.00",$309.00
MANHATTAN,LEHMAN VILLAGE,101,40.794754,-73.947685,0.620366711210526,101,617,622,"2,893.5",4.69,"1,477","1,477",237,0.385,4,1,"$3,959.00",$558.00
BROOKLYN,LENOX ROAD-ROCKAWAY PARKWAY,348,40.65942,-73.918182,0.73813516637037,167,74,74,327.0,4.42,166,166,18,0.243,3,0,"$14,281.00",$627.00
MANHATTAN,LEXINGTON,50,40.787477,-73.949742,0.775553807462963,62,448,448,"1,901.0",4.24,817,817,209,0.471,4,0,"$2,515.00",$548.00
MANHATTAN,LINCOLN,20,40.811043,-73.936792,0.857979438166667,20,"1,280","1,286","6,099.0",4.76,"2,986","2,986",429,0.339,14,0,"$2,358.00",$517.00
BRONX,LONGFELLOW AVENUE REHAB,362,40.826321,-73.887773,0.617686190253333,530,75,75,412.5,5.5,278,278,7,0.095,2,0,"$17,077.00",$666.00
BROOKLYN,LOW HOUSES,169,40.669532,-73.904734,0.731431389738095,169,534,536,"2,542.0",4.76,"1,358","1,358",156,0.297,4,0,"$4,052.00",$507.00
MANHATTAN,LOWER EAST SIDE I INFILL,326,40.721313,-73.990438,0.685933876871795,100,189,189,777.5,4.11,361,361,105,0.568,5,0,"$18,482.00",$512.00
MANHATTAN,LOWER EAST SIDE II,337,40.722967,-73.979331,0.862878424051282,337,188,188,848.0,4.51,433,433,74,0.4,4,1,"$17,346.00",$554.00
MANHATTAN,LOWER EAST SIDE III,364,40.724438,-73.976849,0.809623531361111,359,56,56,280.0,5,173,173,15,0.268,2,1,"$26,158.00",$705.00
MANHATTAN,LOWER EAST SIDE REHAB (GROUP 5),292,40.723869,-73.979416,0.78267814525,337,55,55,229.5,4.17,119,119,17,0.309,2,0,"$18,795.00",$643.00
MANHATTAN,MANHATTANVILLE,81,40.816806,-73.955406,0.735900554533333,81,"1,272","1,272","6,004.0",4.72,"2,405","2,981",494,0.395,6,0,"$4,306.00",$550.00
MANHATTAN,MANHATTANVILLE REHAB (GROUP 2),296,40.81877,-73.953384,0.540735215875,81,46,46,187.0,4.07,87,87,21,0.457,3,0,"$32,096.00",$599.00
MANHATTAN,MANHATTANVILLE REHAB (GROUP 3),297,40.818387,-73.954239,0.66859209537037,81,51,51,220.5,4.32,115,115,17,0.333,2,0,"$16,603.00",$453.00
BRONX,MARBLE HILL,49,40.87549,-73.907621,0.789968631311111,49,"1,680","1,682","7,112.0",4.23,"2,713","3,261",737,0.445,11,1,"$2,539.00",$517.00
BROOKLYN,MARCY,21,40.697605,-73.951326,0.553798676291667,21,"1,716","1,717","8,268.0",4.82,"4,147","4,147",607,0.358,27,1,"$2,347.00",$560.00
STATEN ISLAND,MARINER'S HARBOR,77,40.631847,-74.163491,0.636704551,77,606,607,"2,853.0",4.71,"1,515","1,515",146,0.243,22,0,"$2,826.00",$488.00
BRONX,PARKSIDE,47,40.868663,-73.869003,0.693670453595238,47,879,879,"3,712.5",4.22,"1,734","1,734",359,0.413,14,0,"$2,606.00",$506.00
BROOKLYN,MARLBORO,83,40.591872,-73.981003,0.726501541791667,83,"1,764","1,765","8,248.0",4.68,"3,251","4,112",671,0.387,28,2,"$2,783.00",$551.00
MANHATTAN,MARSHALL PLAZA,344,40.833303,-73.94211,0.722361713210526,3,180,180,630.0,3.5,207,207,154,0.89,1,0,"$19,419.00",$307.00
BRONX,MCKINLEY,103,40.822301,-73.904788,0.56331975575,59,615,619,"2,928.5",4.76,"1,441","1,441",220,0.358,5,1,"$3,535.00",$528.00
BRONX,MELROSE,28,40.820763,-73.919543,0.760010556942029,28,"1,021","1,023","4,854.5",4.75,"2,418","2,418",363,0.358,8,1,"$2,515.00",$486.00
MANHATTAN,MELTZER TOWER,183,40.723106,-73.987174,0.703548558813333,100,229,231,686.5,3,247,247,199,0.896,1,0,"$7,487.00",$290.00
MANHATTAN,METRO NORTH PLAZA,181,40.787192,-73.943161,0.537482628607843,112,271,275,"1,301.5",4.8,643,643,112,0.416,3,0,"$5,105.00",$574.00
BRONX,MIDDLETOWN PLAZA,191,40.844728,-73.829135,0.756365226333333,34,177,179,602.5,3.4,192,192,160,0.914,1,0,"$9,776.00",$313.00
